customer_id,name,residency
1,Jasmine White,Henryhaven
2,Denise Gregory,East Kevin
3,Kevin Wheeler,New Michelleshire
4,Alyssa Parks,Pearsonburgh
5,Steven Suarez,New Brendanmouth
6,Marissa Anderson,Lake Amy
7,Frank Smith,Destinyland
8,Joseph Robinson,Amandaland
9,Russell Trevino,Timothymouth
10,Justin Brooks,Roberttown
11,April King,Andreafort
12,Tammy Howell,Johnsonmouth
13,Joseph Beltran,Woodardchester
14,Michelle Johnson,West Gabrielhaven
15,David Hopkins,Donaldland
16,Laura Taylor,South Patty
17,Jon Marshall,East Susanbury
18,Brittney Miller,East Kimberly
19,Kent Jacobson,Kristinside
20,Samuel Hunt,Sanchezmouth
21,Brian Carr,East Hannahtown
22,Mary Dixon,Tracyland
23,Jaclyn Ferguson,New Timothyville
24,Samuel Simmons MD,West Julia
25,Derrick Paul,Cookmouth
26,Cynthia Colon DDS,Hughesside
27,Connor Noble,Martinstad
28,Brian Hardy,Lake Seth
29,Karen Sosa,West Henrytown
30,Mary Brown,Knightshire
